general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,19,SOME OF THE TIME,100-199% FPL,OWN,SPANISH
GOOD,4,,200-299% FPL,OWN,SPANISH
VERY GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,3,,100-199% FPL,OWN,SPANISH
VERY GOOD,8,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,,300% FPL AND ABOVE,OWN,SPANISH
POOR,15,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,2,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,6,,100-199% FPL,OWN,SPANISH
FAIR,8,,200-299% FPL,OWN,SPANISH
GOOD,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,11,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,13,,200-299% FPL,OWN,SPANISH
VERY GOOD,22,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,2,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,17,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,6,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,3,,0-99% FPL,OWN,SPANISH
GOOD,11,,100-199% FPL,OWN,SPANISH
GOOD,22,,0-99% FPL,OWN,SPANISH
,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,3,,100-199% FPL,OWN,SPANISH
POOR,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,15,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,10,,100-199% FPL,OWN,SPANISH
,12,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,14,,100-199% FPL,OWN,SPANISH
VERY GOOD,16,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,3,,200-299% FPL,OWN,SPANISH
FAIR,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,5,,300% FPL AND ABOVE,OWN,SPANISH
GOOD,4,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,14,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
,7,,200-299% FPL,OWN,SPANISH
FAIR,10,,200-299% FPL,OWN,SPANISH
,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
,7,,200-299% FPL,OWN,SPANISH
FAIR,2,,200-299% FPL,OWN,SPANISH
FAIR,11,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,200-299% FPL,OWN,SPANISH
VERY GOOD,0,,200-299% FPL,OWN,SPANISH
VERY GOOD,4,,300% FPL AND ABOVE,OWN,SPANISH
,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,3,,200-299% FPL,OWN,SPANISH
GOOD,2,SOME OF THE TIME,200-299% FPL,OWN,SPANISH
GOOD,11,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,8,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,6,HARDLY EVER,100-199% FPL,OWN,SPANISH
,7,,0-99% FPL,OWN,SPANISH
