general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,0,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,9,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,2,,300% FPL AND ABOVE,OWN,ENGLISH
,4,HARDLY EVER,0-99% FPL,OWN,ENGLISH
GOOD,6,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
,6,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,4,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,6,SOME OF THE TIME,200-299% FPL,OWN,ENGLISH
VERY GOOD,3,SOME OF THE TIME,100-199% FPL,OWN,ENGLISH
GOOD,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,2,,300% FPL AND ABOVE,OWN,ENGLISH
POOR,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,7,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,2,SOME OF THE TIME,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,6,HARDLY EVER,200-299% FPL,OWN,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
,5,HARDLY EVER,200-299% FPL,OWN,ENGLISH
,2,,300% FPL AND ABOVE,OWN,ENGLISH
,2,,300% FPL AND ABOVE,OWN,ENGLISH
,1,,0-99% FPL,OWN,ENGLISH
,16,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,3,SOME OF THE TIME,200-299% FPL,OWN,ENGLISH
,3,,100-199% FPL,OWN,ENGLISH
VERY GOOD,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,2,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
