general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
VERY GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,1,,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,14,HARDLY EVER,100-199% FPL,OWN,OTHER LANGUAGE
VERY GOOD,1,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,9,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,4,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,11,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,12,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
FAIR,7,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,4,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,0,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,8,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,0,,100-199% FPL,OWN,OTHER LANGUAGE
FAIR,9,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,13,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,16,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,100-199% FPL,OWN,OTHER LANGUAGE
FAIR,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,7,,200-299% FPL,OWN,OTHER LANGUAGE
POOR,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,16,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,0,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,6,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,15,,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,11,SOME OF THE TIME,100-199% FPL,OWN,OTHER LANGUAGE
FAIR,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,,200-299% FPL,OWN,OTHER LANGUAGE
VERY GOOD,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,14,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
VERY GOOD,8,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,5,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,6,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,6,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,9,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,9,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,7,SOME OF THE TIME,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,6,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,8,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,13,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,5,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,1,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,14,,0-99% FPL,OWN,OTHER LANGUAGE
